Name,Timestamp,Date,Amount Raised,Round,Description,Lead Investor,Category,Source,Valuation,Chains,Other Investors
"Nayuta",1503014400,"2017-08-18",1281000,"Seed","Nayuta is an IoT and blockchain company that focuses on lightning network, a micropayment technology.","JAFCO","","","","",""
"BRD",1503014400,"2017-08-18",7095000,"Seed","BRD designs, develops, and markets financial software.","","","","","","Das Capital + East Ventures + Globe Advisors + Liberty City Ventures + Maffin Inc + OKWave + Saison Ventures"
"Chronicled",1503014400,"2017-08-18",3000000,"Seed","Chronicled builds trust and automation in the life science industry, powered by blockchain.","Plug and Play + Streamlined Ventures","","","","",""
"Blockchain Company",1502755200,"2017-08-15",1470000,"Seed","Blockchain Company is a media platform helping people discover blockchain news.","","","","","",""
"Bodhi",1502668800,"2017-08-14",1500000,"Seed","Bodhi is a decentralized prediction market platform focusing on Chinese market.","DHVC + Patrick Dai + Xiaolai Li","","","","",""
"Substratum Network",1502668800,"2017-08-14",13800000,"ICO","Substratum is developing an open-source foundation for the decentralized web.","","","","","","Alex Dahan + Julian Sarokin"
"Coinbase",1502323200,"2017-08-10",108100000,"Series D","","IVP","Centralized Exchange","https://twitter.com/coinbase/status/895683439948464128?s=20&t=seG7XmetK0HLxrgveQytRg","1600","","Spark Digital + Greylock Partners + Battery Ventures + Section 32 + Draper Associates"
"Giga Watt",1502323200,"2017-08-10",22300000,"ICO","The world's first state of the art combined Blockchain hosting and service center.","","","","","","George Burke"
"Populous World",1502323200,"2017-08-10",10000000,"","Populous is an invoice and trade finance platform.","","","","","","George Burke"
"Substratum Network",1502236800,"2017-08-09",5000000,"","Substratum is developing an open-source foundation for the decentralized web.","Render Payment Systems","","","","",""
"Filecoin",1502150400,"2017-08-08",300000,"Seed","Filecoin is a data storage network and electronic currency based on Bitcoin.","RRE Ventures + TWIN CAPITAL ASSET MANAGEMENT","Storage","","","",""
"PlexCorps",1502150400,"2017-08-08",15000000,"ICO","PlexCorps is a group of forty people (programmers, engineers, cryptocurrency specialists, etc.) all independent throughout the world","","","","","",""
"Authoreon.io",1501891200,"2017-08-05",1250000,"ICO","Authoreon solutions prevent fraud, cyber attacks, material and immaterial identity theft.","","","","","",""
"SeSocio.com",1501632000,"2017-08-02",750000,"Pre-Seed","Se.Socio is a personal finance app which completely solves every financial issue that people have.","","","","","",""
"ATLANT",1501632000,"2017-08-02",6000000,"","Blockchain Real Estate Platform | Tokenized Ownership | P2P Rentals","","","","","",""
"StormX",1501545600,"2017-08-01",525000,"Seed","StormX is a Blockchain and micro-task company that provides crypto cashback.","","","","","","Anthony Di Iorio + Ari Paul + Marc Brands + Steven Nerayoff + Walden Bridge Capital"
"Salt",1501545600,"2017-08-01",48000000,"ICO","Lending","","","https://www.businessinsider.com/the-10-biggest-ico-fundraises-of-2017-2017-12?r=US&IR=T#11-salt-48-million-1","","",""
"USDX Wallet",1501545600,"2017-08-01",250000,"Seed","USDX Wallet is a blockchain-based payment system without Banks, Borders or Fees.","","Infrastructure","","","","Andrey Peshkov"
"Loopring",1501545600,"2017-08-01",45000000,"ICO","Loopring is an open protocol for building decentralized exchanges.","","Scaling Solution","","","Ethereum","Fundamental Labs + NEO Foundation + Obsidian Capital"
"Peblik",1501545600,"2017-08-01",74000000,"ICO","Peblik is an asset-backed cryptocurrency supported by an advanced-stage USD $4.8 billion mineral deposit in Canada.","","","","","",""
"Securrency",1501545600,"2017-08-01",1000000,"Angel Round","Securrency delivers financial technology products for the tokenized issuance and trading of securities.","","","","","","Matt McKibbin"
"District0x",1501545600,"2017-08-01",9000000,"ICO","District0x is a network of decentralized markets and communities.","Boost VC + George Burke","","","","",""
"Tierion",1501459200,"2017-07-31",25000000,"ICO","Tierion provides an engine for collecting data and recording it in the blockchain.","","","","","","Andreas Schwartz + George Burke"
"Amino Payments",1500940800,"2017-07-25",1850000,"Seed","Amino is a payments company bringing transparency to online advertising by eliminating fraud, waste, and abuse.","First Round Capital","","","","",""
"BANKEX",1500595200,"2017-07-21",1500000,"","BANKEX is digital asset banking platform that creates infrastructure for tokenized assets and the world's capital markets","","","","","",""
"Neng Lian Tech",1500595200,"2017-07-21",1477000,"Series A","Neng Lian Tech is a blockchain and digital financial services provider company.","ECO Fund","L1","","","",""
"Billon Group",1500595200,"2017-07-21",1749000,"","Billon Group is a fintech company that provides an enterprise DLT system for accounts and transactions and targets at bank accounts.","EASME - EU Executive Agency for SMEs","","","","",""
"APiO",1500508800,"2017-07-20",2500000,"Seed","APiO is a SLC, UT-based FinTech company leveraging Blockchain , AI & Machine Learning to transform how capital is accessed & invested.","","","","","",""
"ObEN",1500336000,"2017-07-18",5000000,"Series A","ObEN is an AI company that is building a decentralized AI platform for intelligent avatars. ","","","","","","CrestValue + Fengshion Capital + Ruigang Li + SBCVC + Tencent"
"Linius Technologies",1500249600,"2017-07-17",1500000,"Post-IPO Equity","Linius Technologies develops the Video Virtualization Engineâ„¢ which virtualizes video services and artificial intelligence in the cloud.","","","","","",""
"Pillar Project",1500249600,"2017-07-17",21000000,"ICO","Platform to contextually manage your identity and transact with the services of the emerging web3 digital economy.","","Digital Identity","","","","George Burke"
"Blox",1500249600,"2017-07-17",30000000,"ICO","Blox is a platform for crypto accounting and bookkeeping that empowers accounting teams, finance teams, and bookkeepers.","","","","","",""
"SONM",1500076800,"2017-07-15",42000000,"ICO","“Fog computing” platform","","","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"PRESSONE",1500076800,"2017-07-15",82000000,"ICO","ad-free digital content platform","","","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"Tezos",1499990400,"2017-07-14",232000000,"ICO","Decentralized cloud computing platform, Ethereum competitor","","L1","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"MEDICI",1499817600,"2017-07-12",974000,"","MEDICI is the global destination for the FinTech industry for the benefit of enterprises, startups, and investors.","","","","","",""
"bitbank",1499817600,"2017-07-12",7500000,"Series A","Bitcoin wallet, payment processing, bitcoin reward service and news media","Ceres","Infrastructure","","","",""
"Storj",1499731200,"2017-07-11",30000000,"ICO","Decentralized cloud object storage that is affordable, easy to use, private, and secure.","","Storage","","","","George Burke"
"Sphre",1499731200,"2017-07-11",5000000,"ICO","SPHRE is pursuing the development of more secure online services by applying new insights","","","","","",""
"ATFX",1499731200,"2017-07-11",1335000,"","ATFX Global is a Fintech Broker that is permitted and constrained by the Cyprus Securities and Exchange Commission.","","","","","",""
"Santiment",1499644800,"2017-07-10",10000000,"ICO","Santiment aims to create market standards for cryptocurrency market data, best practices, and project transparency.","","","","","","Alexis Berthoud"
"Nuri",1499385600,"2017-07-07",1824000,"","Nuri empowers people to manage and grow their wealth through innovative technologies.","High-Tech Grunderfonds","","","","",""
"FunFair Technologies",1499299200,"2017-07-06",26000000,"ICO","FunFair Technologies provides blockchain powered solutions to the online gaming industry.","BlockTower Capital + KR1 + Pantera Capital","Gaming","","","",""
"Internet of Coins",1499212800,"2017-07-05",1000000,"Equity Crowdsale","Internet of Coins is the source of this content. Virtual currency is not legal tender.","","","","","",""
"BitWallet",1499212800,"2017-07-05",2100000,"Seed","BitWallet is a high-security cryptocurrency wallet and exchange for both individuals and businesses.","","Infrastructure","","","",""
"QubeChain, LLC.",1499212800,"2017-07-05",1800000,"Seed","QubeChain is a technology company that develops mobile and web based revenue generating applications and services.","Hudson Morgan Investments","","","","",""
"Ancun.com",1499126400,"2017-07-04",2941000,"Series B","Ancun.com is a builder of electronic data storage cloud platform for financial sectors.","China Venture Capital HRVC","","","","",""
"iSunOne",1499126400,"2017-07-04",15000000,"Seed","Better Banking on Blockchain, Leading Global Blockchain-based Financial Service Platform","","","","","",""
"EXOCHAIN",1499126400,"2017-07-04",1770000,"Seed","EXOCHAIN is a legal risk reducing tokenized blockchain protocol that deliver secure ownership, custody, and care of identifying data.","","","","","",""
"Hive Project",1499040000,"2017-07-03",8949000,"ICO","Hive Project is a blockchain-based platform that provides SMEs with fast and low-cost liquidity.","","","","","",""
"Lion Gaming Group",1498867200,"2017-07-01",1100000,"Equity Crowdsale","Lion Gaming Group provides a mobile-first online sports entertainment ecosystem of bleeding-edge technologies.","","","","","",""
"NYDIG",1498867200,"2017-07-01",50000000,"Series A","NYDIG is a bitcoin company that provides technology and financial services to businesses in a broad range of industries.","Bessemer Venture Partners","","","","",""
"Aluna.Social",1498867200,"2017-07-01",1000000,"Seed","Aluna.Social is a gamified multi-exchange social trading terminal for cryptocurrency traders and investors.","","Trading","","","",""
"Bravowhale",1498867200,"2017-07-01",7377000,"Series B","Bravowhale is a financial management platform that provides supply chain financing services.","","","","","","Phoenix Finance + Safari Capital + Yingzhi (Yinchuan) Touzi Guanli Co"
"POSaBIT",1498780800,"2017-06-30",1500000,"Seed","POSaBIT is a financial technology company that creates an easy way for consumers to acquire digital currency at the point of sale.","DCG","","","","",""
"0x",1498694400,"2017-06-29",24000000,"ICO","0x is an open protocol that enables peer-to-peer trading of assets.","","DeFi","","","Ethereum + Polygon",""
"CAMPFIRE",1498608000,"2017-06-28",5500000,"Series A","CAMPFIRE engages in the planning, development, and operation of a crowd funding platform.","","","","","","FreakOut Holdings + JAFCO + Money Forward + SBI Investment + Septeni + SMBC Venture Capital"
"Fangqiu",1498521600,"2017-06-27",3041000,"Angel Round","Fangqiu is a blockchain company.","Hyper Fund + UniValues Associates","","","","",""
"TenX",1498262400,"2017-06-24",83000000,"ICO","Debit card that lets you spend crypto","","","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"Civic",1498089600,"2017-06-22",33000000,"ICO","Decentralized Identity Software","","","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"Blockchain.com",1498089600,"2017-06-22",40000000,"Series B","Blockchain.com is a platform that offers ways to buy, hold, and use cryptocurrency.","","Centralized Exchange","","","","DCG + Future Perfect Venture  + GV + Lakestar + Lightspeed Venture Partners + Mosaic + NJF Capital + Nokota Management + Prudence Holdings + Virgin Group"
"StartupYard",1498003200,"2017-06-21",1103000,"Equity Crowdsale","StartupYard is a seed accelerator that focuses on deep tech startups.","","","","","",""
"Status",1498003200,"2017-06-21",95000000,"ICO","Browser for DeFi","","DeFi","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"Maxima Live Signals",1497744000,"2017-06-18",80000000,"Private Equity","We'll teach you how to grow your finance, stocks & cryptocurrency portfolios, provide good forex Signals, financial services & consultation","Maxima Live Signals","","","","",""
"Bancor",1497225600,"2017-06-12",153000000,"ICO","DEX","","DeFi","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","Ethereum",""
"Aeternity",1497225600,"2017-06-12",24337000,"ICO","Aeternity is a scalable blockchain platform that enables high-speed transacting, purely-functional smart contracts.","Fundamental Labs","","","","",""
"Loyyal",1497225600,"2017-06-12",1200000,"Series A","Loyyal is a loyalty and rewards platform that brings interoperability to the currently fragmented industry.","","","","","","Day One Investment + Hayaat Group + Integrated Networks + UAE Exchange"
"ZrCoin",1497225600,"2017-06-12",7000000,"ICO","ZrCoin is a blockchain option for investing in the production of an in-demand industrial material.","","","","","",""
"Marqeta",1497225600,"2017-06-12",25000000,"Series D","Marqeta is a card issuing platform that provides infrastructure and tools to help companies build and manage payment programs.","","","","","","83North + Commerce Ventures + CommerzVentures + CreditEase Fintech Investment Fund + Granite Ventures + IA Capital Group + Visa"
"Beijing Holographic Zhixin Technology",1497052800,"2017-06-10",4400000,"Series A","Beijing Holographic Zhixin Technology develops a blockchain cloud platform.","Fosun RZ Capital + Lenovo Capital and Incubator Group","","","","",""
"The Crypto Company",1496966400,"2017-06-09",2265000,"Post-IPO Equity","The crypto company is an operating company actively managing and building a diversified portfolio of crypto currencies.","","","","","",""
"MakeCents",1496966400,"2017-06-09",2000000,"","MakeCents provides a blockchain platform for the payments industry.","","","","","",""
"OpenLedger",1496880000,"2017-06-08",1600000,"Seed","OpenLedger develops custom blockchain solutions for enterprises including fintech, healthcare and supply-chain applications.","","Infrastructure","","","",""
"Patientory",1496620800,"2017-06-05",7200000,"Equity Crowdsale","Patientory is a global population health management software that gives users access to their health data.","","Healthcare","","","",""
"BTCS",1496275200,"2017-06-01",1000000,"Post-IPO Equity","BTCS is an early mover in the blockchain and digital currency ecosystems focused on digital assets and blockchain technologies.","","","","","",""
"BitCAD",1496275200,"2017-06-01",1000000,"Equity Crowdsale","is a unified operating system for business","","","","","",""
"Evernym",1496275200,"2017-06-01",8500000,"Seed","Evernym is a software company that develops decentralized, self-sovereign identity applications in order to form more trusting interactions","","","","","",""
"Opera Event",1496275200,"2017-06-01",1200000,"Seed","Influencer Infrastructure for Social Media","","","","","",""
"TopMonks",1496275200,"2017-06-01",1586000,"Seed","TopMonks is a software development company specialising in infrastructure projects, blockchain, web applications and startups.","Reflex Capital","Infrastructure","","","",""
"Encrypgen",1496275200,"2017-06-01",1000000,"Seed","Encrypgen develops software for genomic data, empowering patients and donors, facilitating health, business, and science.","","","","","",""
"KICK ECOSYSTEM",1496275200,"2017-06-01",23000000,"ICO","One-stop shop in crypto: a next generation digital exchange, STO/ICO auction platform, wallet, payment acquirer and many other services.","","","","","",""
"Asset Token ERC20",1496275200,"2017-06-01",1000000,"Debt Financing","World's First Tranferrable Credit Card Rewards Point Token that Truly Never Expires.","Globex Capital Funding","","","","",""
"Brave",1496188800,"2017-05-31",35000000,"ICO","Web browser with a built-in ad blocker that allows users to reward content creators","","","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"MOBILEGO",1495670400,"2017-05-25",53000000,"ICO","gaming and esports","","Gaming","https://www.forbes.com/sites/jeffkauflin/2018/10/29/where-did-the-money-go-inside-the-big-crypto-icos-of-2017/?sh=700aa011261b","","",""
"Coins.ph",1495584000,"2017-05-24",5000000,"Series A","Coins.ph delivers financial services via mobile to people who are currently unserved by traditional banks.","Prosus & Naspers","CeFi","https://newscenter.io/2017/05/coins-ph-raises-5-million/","","",""
"FinLab",1495497600,"2017-05-23",6539000,"Post-IPO Debt","FinLab is a Germany-based investment company engaged in the building of companies in the financial services technologies.","","","","","",""
"R3",1495497600,"2017-05-23",107000000,"","R3 is a financial innovation firm dedicated to the design and deployment of DLT to build the new operating system for financial services.","","Infrastructure","","","","Banco Bilbao Vizcaya Argentaria + Banco Bradesco + Bangkok Bank + Bank of America Merrill Lynch + Bank of Montreal + Barclays Corporate Banking + BM&FBOVESPA S.A. + BNP Paribas Private Equity + BNY Mellon + CIBC + Citi + Commerzbank + RBC Capital + SBI Group + ScotiaBank + Temasek + UBS + US Bank + Wells Fargo & Company + Westpac"
"RSK Labs",1495411200,"2017-05-22",3500000,"Seed","RSK is the first open-source smart contract platform","","L1","","","","Anthony Di Iorio + Bitfury Group + Bitmain + Enabling Future + George Burke + Moe Levin"
"LedgerX",1495411200,"2017-05-22",11400000,"Series B","LedgerX, LLC develops an institutional derivatives exchange platform for digital currencies.","","Centralized Exchange","","","","CoinFund + Crowd Venture Capital + Digital Finance Group + MIAX Exchange Group"
"YOYOW",1495324800,"2017-05-21",5835000,"","YOYOW is a public blockchain based content value network.","zhongchouke.com","","","","",""
"Aragon",1494979200,"2017-05-17",25000000,"ICO","Aragon is a project that aims to disintermediate the creation and maintenance of organizational structures by using blockchain technology.","James Sowers + ZBS CAPITAL","DeFi","","","",""
"Funding Wonder, Inc.",1494892800,"2017-05-16",1395000,"Seed","Funding Wonder, Inc. is a holding company that has aggregated investments in FinTech ventures. ","","","","","",""
"Wemark",1494806400,"2017-05-15",1000000,"Seed","Blockchain-based marketplace for digital content, starting with photos","Bouaziz & Partners + Elevator Fund + NFX","","","","",""
"Ripple",1494547200,"2017-05-12",200000,"Corporate Round","Ripple provides one frictionless experience to send money globally using the power of blockchain.","","L1","","","",""
"PeerNova",1494547200,"2017-05-12",7000000,"","PeerNovas mission is to empower firms to make confident and timely decisions using high-quality data.","","","","","",""
"WISeKey",1494460800,"2017-05-11",25000000,"Post-IPO Debt","WISeKey is a cybersecurity company using blockchain, AI, IoT technologies, and security to counterfeit fraud of bankcard and transactions.","","Cybersecurity","","","",""
"Axoni",1494460800,"2017-05-11",20000000,"Series A","Axoni offers blockchain infrastructure, distributed application development, and workflow automation tools.","","Infrastructure","","","","a16z + Citi + DCG + F-Prime Capital + FinTech Collective + Goldman Sachs + JP Morgan + NEX Opportunities + Thomson Reuters + Wells Fargo & Company"
"BuroHQ",1494374400,"2017-05-10",8000000,"Series A","NYC's workspace, community, IR for Crypto & Blockchain startups, and Fin-, Fashion, Media, Ad-Tech entrepreneurs with Bitcoin/Ethereum/Coin","","","","","",""
"Bitbond",1494374400,"2017-05-10",5430000,"Debt Financing","Leading tokenization software","Hevella Capital + Obotritia Capital","","","","",""
"Energy Web Foundation",1494374400,"2017-05-10",2500000,"Seed","Energy Web Foundation is a non-profit organization focused on accelerating blockchain technology across the energy sector.","Tokyo Electric Power","L1","","","Energy Web",""
"Canaan Creative",1494201600,"2017-05-08",43450000,"Series A","Canaan Creative is a producer of Blockchain servers and solutions for repetition ASIC chips.","","Mining","","","","Baopu Asset Management + Fundamental Labs + Jinjiang International + Tunlan Investment"
"Prime Trust",1494201600,"2017-05-08",2000000,"Series A","Prime Trust powers innovation in the digital economy by providing fintech and digital asset innovators with financial infrastructure.","","","","","",""
"OAX",1494115200,"2017-05-07",18756000,"ICO","OAX Foundation strives to provide support within the digital asset space, through tools, technology, applications and community support.","","","","","",""
"Minds",1493942400,"2017-05-05",1034000,"Equity Crowdsale","Minds is an open source social network on a mission to reward creators and elevate global discourse through Internet freedom.","","","","","",""
"Symbiont",1493856000,"2017-05-04",15000000,"Series A","Symbiont has developed the market-leading platform for institutional applications of blockchain technology.","","","","","","Atlantic Merchant Capital + Celeridem Capital Management + DHVC + Fenbushi Capital + Hundsun Technologies + Medici Ventures + SenaHill Partners + Wicklow Capital"
"Monolith",1493856000,"2017-05-04",16700000,"ICO","Monolith is a decentralised banking alternative that integrates the DeFi economy into your daily life.","","Banking","","","",""
"NuID",1493769600,"2017-05-03",1640000,"Convertible note issuance","NuID is a pioneer in trustless authentication and decentralized digital identity","8VC + Jemison Investment Company","Digital Identity","","","",""
"Gameflip",1493683200,"2017-05-02",5000000,"","Gameflip is creating the commerce engine for the gaming Metaverse","","Metaverse","","","","Alpaca VC + Bullpen Capital + GoAhead Ventures + Lightbank + Social Starts + Symmetrical Ventures"
"Adel",1493596800,"2017-05-01",1090000,"Seed","A global cryptocurrency community that is self-regulate, self-sustained, and offers its own economic ecosystem with the Adelphoi token.","","","","","",""
"TENSOCOIN",1493596800,"2017-05-01",1000000,"Pre-Seed","crypto,cryptocurreny","JSC GDI FUND","","","","",""
"The DAO",1493596800,"2017-05-01",12700000,"ICO","Decentralized Autonomous Org","","DAO infrastructure","https://decrypt.co/53950/the-10-biggest-icos-heres-where-the-money-went","150","",""
"Ubby",1493596800,"2017-05-01",1000000,"Seed","Ubby is a social commerce platform that allows users to share products with friends and followers and get sales rewards automatically.","Boost VC + Polaris Investimentos","","","","",""
"OmiseGO",1493510400,"2017-04-30",25000000,"","OmiseGO enables financial inclusion and interoperability through the public, decentralized OMG network.","","L1","","","","Andreas Schwartz + Chain Capital + James Sowers"
"TaaS",1493337600,"2017-04-28",7700000,"ICO","A closed-end fund dedicated entirely to Blockchain assets.","","","","","",""
"Humaniq",1493337600,"2017-04-28",5163000,"ICO","Humaniq is a global Fintech company that provides next-generation financial services in emerging economies.","","","","","",""
"TenX",1493337600,"2017-04-28",44000000,"","TenX makes any cryptocurrency spendable anytime and anywhere.","Chain Capital","","","","",""
"Baoquan",1493251200,"2017-04-27",3624000,"Angel Round","Baoquan, a blockchchain startup based in Hangzhou Zhejiang","Dingfeng Capital + Lu Chunquan","","","","",""
"Ripio",1493164800,"2017-04-26",428000,"Series A","Ripio is a bitcoin and digital payments company that provides electronic payment solutions for businesses in Latin America.","Digital Finance Group + Medici Ventures","","","","",""
"Gnosis",1493078400,"2017-04-25",12500000,"ICO","Gnosis builds decentralized infrastructure for the Ethereum ecosystem.","G2H2 Capital + James Sowers + Kenetic","L1","","","",""
"Kadena",1493078400,"2017-04-25",725000,"Seed","Kadena provides a hybrid blockchain platform, including the only sharded and scalable layer-1 PoW public network.","Asimov Ventures + SV Angel","L1","","","",""
"iExec",1493078400,"2017-04-25",12000000,"ICO","iExec provides blockchain based decentralized cloud computing platform.","","DeFi","","","",""
"Factom",1492473600,"2017-04-18",8000000,"Series A","Factom, Inc. is a blockchain innovations company providing blockchain as a service platforms.","","","","","","Draper Associates + Harvest Equity + Medici Ventures + Peeli Ventures + Plug and Play"
"WeTrust",1492041600,"2017-04-13",5000000,"","Building reciprocal aid organizations on the blockchain","","","","","",""
"Coinme",1492041600,"2017-04-13",1500000,"Angel Round","Coinme is a digital currency exchange on a mission to be the worlds trusted gateway to digital currencies and a better financial future.","","Centralized Exchange","","","",""
"Texas Security Bank",1492041600,"2017-04-13",2294000,"","Texas Security Bank is a bank that specializes in financing, real estate loans and SBA loan services.","","","","","",""
"Blockchain Capital",1491868800,"2017-04-11",10000000,"","Blockchain Capital is a venture capital firm investing in Blockchain-enabled technology companies.","Tally Capital","","","","",""
"Cosmos Network",1491436800,"2017-04-06",17000000,"ICO","An ambitious project with the final goal of becoming the first decentralized exchange .","","","","","","Kenneth Bok"
"BCB Community Bank",1491350400,"2017-04-05",5280000,"Post-IPO Equity","BCB Community Bank is the wholly-owned subsidiary of BCB Bancorp, Inc. (NASDAQ: BCBP).","","","","","",""
"Blocko",1491177600,"2017-04-03",4490000,"Series A","Blocko offers a blockchain operating system and development platform.","","","","","","Daesung Private Equity + InterVest Co + WONIK Investment Partners"
"Chronicled",1491004800,"2017-04-01",4175000,"Convertible note issuance","Chronicled builds trust and automation in the life science industry, powered by blockchain.","","","","","",""
"Bitbond",1491004800,"2017-04-01",1279000,"","Leading tokenization software","Hevella Capital","","","","",""
"Weeshing",1491004800,"2017-04-01",1000000,"Seed","The first crowdfunding for shows, connecting artists with fans who could profit from  a VIP experience.","NXTP Ventures + Venture Capital SpA","","","","",""
"Mezzofy",1490918400,"2017-03-31",1000000,"Pre-Seed","Mezzofy is the On-Demand Digital Coupon Platform Provider for Business, Marketer and Developer.","","","","","",""
"Meeco",1490918400,"2017-03-31",1173000,"Seed","Meeco is building a personal data ecosystem of equals, with distributed ledger tools for people & organisations to create mutual value","","","","","",""
"Filament",1490832000,"2017-03-30",15000000,"Series A","Filament builds blockchain hardware & software solutions for enterprise and IoT.","","Infrastructure","","","","Backstage Capital + Bullpen Capital + DCG + Flex Lab IX + Intel Capital + JetBlue Technology Ventures + Resonant Venture Partners + Samsung Next + Tappan Hill Ventures + The Whittemore Collection + Verizon Ventures"
"QEDIT",1490832000,"2017-03-30",2400000,"Seed","QEDIT helps businesses accelerate trust with Zero-Knowledge Blockchains.","","","","","","Eddy Shalev + Ehud Weinstein + Jovono + Meni Rosenfeld + Ofer Rotem + Ofir Shalvi"
"Vivagogy Limited",1490832000,"2017-03-30",5343000,"Series B","Vivagogy is a 'not only for profit business' creating societal good and benefits for all stakeholders with creative business models and AI.","","","","","",""
"The NAGA Group",1490832000,"2017-03-30",13359000,"","NAGA AG Group is a German-based fintech company founded in 2015 and publicly listed on the Frankfurt Stock Exchange.","Fosun International","CeFi","","","",""
"DecorMatters",1490832000,"2017-03-30",1000000,"Seed","Building the world's first blockchain-based creativity ecosystem for the trillion dollar home renovation industry","ZenStone Venture Capital","","","","",""
"Slock.it",1490832000,"2017-03-30",2000000,"Seed","Slock.it brings the benefits of the blockchain - transparency, security and auditablity - to real-world objects.","","","","","",""
"Ledger",1490832000,"2017-03-30",7000000,"Series A","Ledger provides security and infrastructure solutions to critical digital assets for consumers and institutional investors.","","Infrastructure","","","","ACI Capita + CapHorn Invest + DCG + Kima Ventures + GDTRE + Libertas Capital + The Whittemore Collection + XAnge + Wicklow Capital"
"GAMEE",1490745600,"2017-03-29",2151000,"Seed","GAMEE is a high-engagement gaming platform, where users complete game missions, compete in tournaments and earn prizes.","","Gaming","","","","Credo Ventures + Index Ventures + Initial Capital"
"ShapeShift",1490745600,"2017-03-29",10400000,"Series A","Digital currency exchange","Early Bird Venture Capital","Centralized Exchange","https://www.coindesk.com/markets/2017/03/29/digital-currency-exchange-shapeshift-raises-104-million-series-a/","","","Lakestar + Blockchain Capital + Pantera Capital + Access Venture Partners + Funders Club + DCG"
"RSK Labs",1490227200,"2017-03-23",2415000,"Seed","RSK is the first open-source smart contract platform","Digital Finance Group","L1","","","",""
"WEWAY",1489968000,"2017-03-20",3619000,"Series A","WEWAY is a blockchain and encryption communication technology company.","","","","","","Allwinner Technology + Guangdong Technology Financial Group + Shenzhen Capital Group"
"Satoshi Systems Limited",1489795200,"2017-03-18",1548000,"Seed","Satoshi Systems provides state of the art software solutions for the trading space, currently focusing on the commodity.","Level39","Trading","","","",""
"Qtum",1489708800,"2017-03-17",15600000,"ICO","Qtum is an open sourced public blockchain platform.","Distributed Global + Hashed","L1","","","",""
"SharkPay",1489708800,"2017-03-17",13000000,"Series A","SharkPay is an innovative, easy-to-use payment gateway that accepts over 20 different methods, including cryptocurrencies like Bitcoin.","Krupy Capital + StartVenture","","","","",""
"BOScoin",1489536000,"2017-03-15",3000000,"","BOScoin is a cryptocurrency that utilizes the blockchain and numerous new technologies to solve persistent issues in decentralized systems.","","","","","",""
"ObEN",1489449600,"2017-03-14",1000000,"Series A","ObEN is an AI company that is building a decentralized AI platform for intelligent avatars. ","Softbank Ventures Asia","","","","",""
"Animoca Brands",1489363200,"2017-03-13",5200000,"Post-IPO Equity","Animoca Brands focuses on driving digital property rights via NFTs and gaming to help build the open metaverse.","","Gaming","","","",""
"PlayAmo",1489276800,"2017-03-12",2670000,"","PlayAmo is a popular online casino platform","","Gaming","","","",""
"CoolBitX",1489104000,"2017-03-10",500000,"Seed","An international blockchain security company providing solutions, CoolWallet and Sygna, to enable the mass adoption of virtual assets.","Kyber Capital","","","","",""
"Veem",1488931200,"2017-03-08",24000000,"Series B","Veem is a payment service provider that helps simplify the way businesses send and receive funds.","","","","","","GV + Kleiner Perkins + NAB Ventures + SBI Investment + Silicon Valley Bank"
"Wirex",1488758400,"2017-03-06",3000000,"Series A","Wirex is a digital payment platform that aims to make crypto and traditional currencies equal and accessible to everyone.","SBI Group","","","","",""
"Lykke",1488672000,"2017-03-05",1984000,"","Lykke is building a global marketplace for all asset classes and financial instruments.","","","","","",""
"Wawllet Enterprises Limited",1488326400,"2017-03-01",1500000,"Seed","Wawllet creates a global network by integrating banks, cryptocurrency exchanges, commodity traders, and vaults.","","","","","",""
"Mainframe",1488326400,"2017-03-01",30000000,"ICO","Mainframe is a convenient platform for secure decentralized applications.","","L1","","","","BlockTower Capital + ff Venture Capital + George Burke + Hoxton Ventures"
"TenX",1488326400,"2017-03-01",1000000,"Seed","TenX makes any cryptocurrency spendable anytime and anywhere.","","","","","","Andreas von Arx + Dennis Jacobs + Fenbushi Capital + FF Estate AG + John Rost + Kosmos Ventures + Mustedanagic & Plott Brothers GbR"
"MintDice",1488326400,"2017-03-01",2000000,"Pre-Seed","MintDice is a fully-featured online cryptocurrency casino.","","Gaming","","","",""
